Column1;Actu du Futur;Atelier Missor;Barbare Civilisé;BENCH&CIGARS;Boulevard Voltaire;Bruno Le Salé;Caljbeut;Christopher Lannes;Consul Pazen;Damien Rieu;Eric Zemmour;Greg TOUSSAINT;Julien Rochedy;La Cartouche;LAPIN DU FUTUR;L'Assimilé;Le Raptor;Les Philogynes;Livre Noir;Marion Maréchal;PAPACITO;Psyhodelik;Thaïs d'Escufon;Valek;VA Plus;Virginie Vota
Actu du Futur;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Atelier Missor;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Barbare Civilisé;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BENCH&CIGARS;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0
Boulevard Voltaire;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0
Bruno Le Salé;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caljbeut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Christopher Lannes;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
Consul Pazen;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;1;1;1;1;0;0
Damien Rieu;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Eric Zemmour;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
Greg TOUSSAINT;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Julien Rochedy;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1
La Cartouche;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LAPIN DU FUTUR;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L'Assimilé;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Le Raptor;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Les Philogynes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Livre Noir;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
Marion Maréchal;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
PAPACITO;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0
Psyhodelik;0;0;0;1;0;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;0;1;1;0;0
Thaïs d'Escufon;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
Valek;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VA Plus;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0
Virginie Vota;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
