"","degré total","degré entrant","degré sortant","centralité d'intermédiarité"
"Actu du Futur",3,1,2,0
"Atelier Missor",2,1,1,0
"Barbare Civilisé",2,1,1,0
"BENCH CIGARS",19,10,9,33.0709956709957
"Boulevard Voltaire",14,7,7,39.8430735930736
"Bruno Le Salé",1,1,0,0
"Caljbeut",0,0,0,0
"Christopher Lannes",10,5,5,0.142857142857143
"Consul Pazen",11,1,10,0.2
"Damien Rieu",8,5,3,0.833333333333333
"Eric Zemmour",21,16,5,97.6166666666666
"Greg TOUSSAINT",2,1,1,0
"Julien Rochedy",20,10,10,118.570995670996
"La Cartouche",0,0,0,0
"LAPIN DU FUTUR",3,1,2,0
"L'Assimilé",1,0,1,0
"Le Raptor",5,3,2,0
"Les Philogynes",0,0,0,0
"Livre Noir",13,7,6,34.2305194805195
"Marion Maréchal",7,4,3,1.06666666666667
"PAPACITO",16,9,7,6.42813852813853
"Psyhodelik",14,2,12,73.6666666666667
"Thaïs d'Escufon",15,8,7,3.72510822510822
"Valek",3,2,1,0
"VA Plus",12,6,6,30.6049783549783
"Virginie Vota",2,1,1,0
